State,pctBlack,pctAsian,pctHisp,pctUrban,pctWfarm,pctPubAsst,blackPerCap,NAperCap,asianPerCap,otherPerCap,pctEmployMfg,numForeignBorn,pctFgnImmig-3,houseVacant,pctVacantBoarded,pctHousWOphone,pctHousWOplumb,ownHousQrange,persEmergShelt,persHomeless,landArea,pctUsePubTrans,pctOfficDrugUnit,murdPerPop,rapesPerPop,assaultPerPop,larcPerPop,autoTheftPerPop,arsonsPerPop,pop,violentPerPop
NJ,1.37,6.3425,1.88,100.0,1.55,1.03,13600.0,5725.0,27101.0,5115.0,14.65,1277.0,8.69,64.0,3.12,0.0,0.28,111000,11.0,0.0,6.5,7.93125,0.0,0.0,0.0,32.81,1132.08,131.26,16.41,11980,41.02
PA,0.8,3.44,0.85,100.0,1.11,2.75,18137.0,0.0,20074.0,5250.0,12.26,1920.0,5.21,240.0,0.0,0.31,0.14,63600,0.0,0.0,10.6,3.84,0.0,0.0,4.25,102.05,1598.78,110.55,4.25,23123,127.56
OR,0.74,3.43,2.35,100.0,1.15,2.94,16644.0,21606.0,15528.0,5954.0,15.95,1468.0,16.42,544.0,0.92,1.55,0.12,37300,16.0,0.0,10.6,4.37,0.0,8.3,16.6,38.74,4972.19,376.3,60.87,29344,218.59
MO,2.51,0.9,0.95,100.0,1.0,7.12,7382.0,10264.0,10753.0,7192.0,14.31,2091.0,21.33,2746.625,2.09,6.13,0.31,35400,57.5,2.5,52.75,0.97,0.0,4.63,50.98,297.29,5091.64,300.6,88.72,140494,442.95
MA,1.6,1.47,1.1,100.0,0.39,5.41,17342.0,21482.0,12639.0,20230.25,14.02,2637.0,11.38,566.0,1.41,0.69,0.28,60400,0.0,0.0,10.9,7.93125,0.0,0.0,13.53,182.66,974.19,487.1,57.5,28700,226.63
IN,14.2,0.4,0.63,100.0,0.67,8.81,9820.0,6634.0,8802.0,7428.0,27.0,517.0,13.15,2051.0,6.39,8.42,0.49,26100,21.0,0.0,39.2,0.7,0.0,13.13,55.79,210.02,3691.79,205.1,14.77,59459,439.73
ND,0.35,1.25,0.73,100.0,2.0700000000000003,4.21,8852.0,5344.0,8011.0,5332.0,6.89,1474.0,23.68,1562.0,0.45,2.66,0.19,39200,57.5,2.5,30.9,1.41,0.0,0.0,43.87,51.39,3946.71,258.18,10.03,74111,115.31
TX,23.14,0.92,16.35,100.0,0.86,9.06,5715.0,11313.0,5770.0,7320.0,15.73,4793.0,15.54,2746.625,5.64,11.74,0.33,38800,43.0,2.5,52.75,0.76,0.0,21.525,110.94625,966.77,5673.63,991.8,16.68,103590,1544.24
TX,12.63,0.77,4.39,100.0,1.54,7.02,7496.0,9126.0,9107.0,5267.0,25.33,938.0,17.91,1807.0,2.77,7.89,0.3,41400,1.0,0.0,38.7,0.0,0.0,3.11,90.25,407.69,5654.8,469.94,18.67,31601,722.02
CA,21.34,6.3425,21.1625,100.0,0.0,17.75125,10412.0,8238.0,9546.0,8330.0,15.39,6645.0,21.87,714.0,3.78,6.25,0.64,49900,20.0,2.5,2.7,7.93125,0.0,21.525,77.73,1127.55875,5404.4,1294.1399999999999,74.03,25158,2605.96
