treat,age,black,hisp,married,nodegr,re74,re75,re78,u75
False,23.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,26.0,0.0,0.0,0.0,0.0,0.0,0.0,12383.68,1.0
False,22.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,18.0,1.0,0.0,0.0,1.0,0.0,0.0,10740.08,1.0
False,40.0,1.0,0.0,0.0,1.0,0.0,0.0,11796.47,1.0
False,18.0,1.0,0.0,0.0,1.0,0.0,0.0,9227.052,1.0
False,24.0,0.0,0.0,0.0,1.0,0.0,0.0,10569.27,1.0
False,34.0,1.0,0.0,1.0,1.0,0.0,0.0,6040.335,1.0
False,24.0,0.0,1.0,0.0,1.0,0.0,0.0,3880.833,1.0
False,36.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,21.0,1.0,0.0,0.0,0.0,0.0,0.0,5775.062,1.0
False,28.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,27.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
False,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,34.0,1.0,0.0,0.0,0.0,0.0,0.0,2113.722,1.0
False,24.0,1.0,0.0,0.0,1.0,0.0,0.0,7618.639,1.0
False,22.0,0.0,1.0,0.0,1.0,0.0,0.0,9920.945,1.0
False,25.0,1.0,0.0,0.0,1.0,0.0,0.0,4196.375,1.0
False,39.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,19.0,1.0,0.0,1.0,1.0,0.0,0.0,16658.25,1.0
False,40.0,1.0,0.0,0.0,1.0,0.0,0.0,9722.003,1.0
False,27.0,1.0,0.0,0.0,1.0,0.0,0.0,3783.66,1.0
False,25.0,1.0,0.0,0.0,1.0,0.0,0.0,3515.929,1.0
False,31.0,1.0,0.0,0.0,1.0,0.0,0.0,17014.59,1.0
False,34.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
False,21.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
False,33.0,1.0,0.0,0.0,0.0,0.0,0.0,5970.257,1.0
False,18.0,0.0,1.0,0.0,1.0,0.0,0.0,1859.167,1.0
False,26.0,1.0,0.0,1.0,0.0,0.0,0.0,6191.943,1.0
False,31.0,1.0,0.0,0.0,0.0,0.0,0.0,7284.394,1.0
False,35.0,1.0,0.0,0.0,1.0,0.0,0.0,445.8309,1.0
False,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
False,25.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,25.0,1.0,0.0,0.0,1.0,0.0,0.0,7367.04,1.0
False,35.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,20.0,1.0,0.0,0.0,1.0,0.0,0.0,2015.503,1.0
False,25.0,0.0,1.0,0.0,1.0,0.0,0.0,15791.13,1.0
False,27.0,1.0,0.0,0.0,1.0,0.0,0.0,1135.47,1.0
False,20.0,0.0,1.0,0.0,1.0,0.0,0.0,6378.72,1.0
False,26.0,1.0,0.0,0.0,1.0,0.0,0.0,7176.187,1.0
False,38.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,34.0,1.0,0.0,0.0,1.0,0.0,0.0,7952.54,1.0
False,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
False,32.0,1.0,0.0,0.0,1.0,0.0,0.0,7152.132,1.0
False,20.0,0.0,1.0,0.0,1.0,0.0,0.0,8329.823,1.0
False,23.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,38.0,1.0,0.0,0.0,1.0,0.0,0.0,12429.91,1.0
False,24.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,23.0,1.0,0.0,0.0,1.0,0.0,0.0,5088.76,1.0
False,20.0,0.0,1.0,0.0,1.0,0.0,0.0,4374.04,1.0
False,21.0,1.0,0.0,0.0,1.0,0.0,0.0,1553.291,1.0
False,25.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,22.0,1.0,0.0,1.0,1.0,0.0,0.0,1698.304,1.0
False,23.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,24.0,0.0,0.0,0.0,0.0,0.0,0.0,11294.63,1.0
False,29.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,24.0,1.0,0.0,0.0,1.0,0.0,0.0,14626.39,1.0
False,22.0,1.0,0.0,0.0,1.0,0.0,0.0,12898.38,1.0
False,28.0,1.0,0.0,0.0,1.0,0.0,0.0,5767.133,1.0
False,18.0,0.0,1.0,0.0,1.0,0.0,0.0,6527.919,1.0
False,26.0,1.0,0.0,0.0,1.0,0.0,0.0,3931.238,1.0
False,25.0,1.0,0.0,0.0,1.0,0.0,0.0,20311.7875,1.0
False,24.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,26.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,36.0,1.0,0.0,0.0,1.0,0.0,0.0,14690.35,1.0
False,22.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,25.0,1.0,0.0,0.0,0.0,0.0,0.0,3418.097,1.0
False,27.0,1.0,0.0,0.0,1.0,0.0,0.0,11197.34,1.0
False,29.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
False,22.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
False,24.0,1.0,0.0,0.0,1.0,0.0,0.0,1455.69,1.0
False,29.0,1.0,0.0,0.0,0.0,0.0,0.0,1890.937,1.0
False,25.0,0.0,1.0,1.0,1.0,0.0,0.0,4485.616,1.0
False,30.0,1.0,0.0,0.0,0.0,0.0,0.0,13613.35,1.0
False,22.0,1.0,0.0,0.0,1.0,0.0,0.0,1390.509,1.0
