treat,age,educ,re74,re75,re78,u74,u75,black_0,black_1,hisp_0,hisp_1,married_0,married_1,nodegr_0,nodegr_1
0,23.0,10.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,26.0,12.0,0.0,0.0,12383.68,1.0,1.0,1,0,1,0,1,0,1,0
0,22.0,9.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,18.0,9.0,0.0,0.0,10740.08,1.0,1.0,0,1,1,0,1,0,0,1
0,45.0,11.0,0.0,0.0,11796.47,1.0,1.0,0,1,1,0,1,0,0,1
0,18.0,9.0,0.0,0.0,9227.052,1.0,1.0,0,1,1,0,1,0,0,1
0,24.0,8.0,0.0,0.0,10569.27,1.0,1.0,1,0,1,0,1,0,0,1
0,34.0,11.0,0.0,0.0,6040.335,1.0,1.0,0,1,1,0,0,1,0,1
0,24.0,4.0,0.0,0.0,3880.833,1.0,1.0,1,0,0,1,1,0,0,1
0,36.0,10.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,21.0,14.0,0.0,0.0,5775.062,1.0,1.0,0,1,1,0,1,0,1,0
0,28.0,9.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,27.0,7.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,0,1,0,1
0,19.0,11.0,0.0,0.0,0.0,1.0,1.0,1,0,1,0,1,0,0,1
0,20.0,8.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,34.0,12.0,0.0,0.0,2113.722,1.0,1.0,0,1,1,0,1,0,1,0
0,24.0,10.0,0.0,0.0,7618.639,1.0,1.0,0,1,1,0,1,0,0,1
0,22.0,8.0,0.0,0.0,9920.945,1.0,1.0,1,0,0,1,1,0,0,1
0,25.0,11.0,0.0,0.0,4196.375,1.0,1.0,0,1,1,0,1,0,0,1
0,39.0,9.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,19.0,9.0,0.0,0.0,16658.25,1.0,1.0,0,1,1,0,0,1,0,1
0,44.0,9.0,0.0,0.0,9722.003,1.0,1.0,0,1,1,0,1,0,0,1
0,27.0,8.0,0.0,0.0,3783.66,1.0,1.0,0,1,1,0,1,0,0,1
0,25.0,8.0,0.0,0.0,3515.929,1.0,1.0,0,1,1,0,1,0,0,1
0,31.0,10.0,0.0,0.0,17014.59,1.0,1.0,0,1,1,0,1,0,0,1
0,34.0,10.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,0,1,0,1
0,21.0,7.0,0.0,0.0,0.0,1.0,1.0,1,0,0,1,1,0,0,1
0,33.0,12.0,0.0,0.0,5970.257,1.0,1.0,0,1,1,0,1,0,1,0
0,18.0,10.0,0.0,0.0,1859.167,1.0,1.0,1,0,0,1,1,0,0,1
0,26.0,12.0,0.0,0.0,6191.943,1.0,1.0,0,1,1,0,0,1,1,0
0,31.0,12.0,0.0,0.0,7284.394,1.0,1.0,0,1,1,0,1,0,1,0
0,35.0,10.0,0.0,0.0,445.8309,1.0,1.0,0,1,1,0,1,0,0,1
0,20.0,12.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,1,0
0,25.0,11.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,25.0,10.0,0.0,0.0,7367.04,1.0,1.0,0,1,1,0,1,0,0,1
0,35.0,11.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,20.0,10.0,0.0,0.0,2015.503,1.0,1.0,0,1,1,0,1,0,0,1
0,25.0,9.0,0.0,0.0,15791.13,1.0,1.0,1,0,0,1,1,0,0,1
0,27.0,10.0,0.0,0.0,1135.47,1.0,1.0,0,1,1,0,1,0,0,1
0,20.0,11.0,0.0,0.0,6378.72,1.0,1.0,1,0,0,1,1,0,0,1
0,26.0,11.0,0.0,0.0,7176.187,1.0,1.0,0,1,1,0,1,0,0,1
0,38.0,8.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,34.0,10.0,0.0,0.0,7952.54,1.0,1.0,0,1,1,0,1,0,0,1
0,19.0,12.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,1,0
0,32.0,8.0,0.0,0.0,7152.132,1.0,1.0,0,1,1,0,1,0,0,1
0,20.0,9.0,0.0,0.0,8329.823,1.0,1.0,1,0,0,1,1,0,0,1
0,23.0,10.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,38.0,10.0,0.0,0.0,12429.91,1.0,1.0,0,1,1,0,1,0,0,1
0,24.0,11.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,23.0,11.0,0.0,0.0,5088.76,1.0,1.0,0,1,1,0,1,0,0,1
0,20.0,7.0,0.0,0.0,4374.04,1.0,1.0,1,0,0,1,1,0,0,1
0,21.0,11.0,0.0,0.0,1553.291,1.0,1.0,0,1,1,0,1,0,0,1
0,25.0,10.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,22.0,11.0,0.0,0.0,1698.304,1.0,1.0,0,1,1,0,0,1,0,1
0,23.0,11.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,24.0,12.0,0.0,0.0,11294.63,1.0,1.0,1,0,1,0,1,0,1,0
0,29.0,11.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,24.0,11.0,0.0,0.0,14626.39,1.0,1.0,0,1,1,0,1,0,0,1
0,22.0,9.0,0.0,0.0,12898.38,1.0,1.0,0,1,1,0,1,0,0,1
0,28.0,11.0,0.0,0.0,5767.133,1.0,1.0,0,1,1,0,1,0,0,1
0,18.0,10.0,0.0,0.0,6527.919,1.0,1.0,1,0,0,1,1,0,0,1
0,26.0,10.0,0.0,0.0,3931.238,1.0,1.0,0,1,1,0,1,0,0,1
0,25.0,10.0,0.0,0.0,20942.24,1.0,1.0,0,1,1,0,1,0,0,1
0,24.0,10.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,26.0,5.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,36.0,10.0,0.0,0.0,14690.35,1.0,1.0,0,1,1,0,1,0,0,1
0,22.0,11.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,25.0,12.0,0.0,0.0,3418.097,1.0,1.0,0,1,1,0,1,0,1,0
0,27.0,11.0,0.0,0.0,11197.34,1.0,1.0,0,1,1,0,1,0,0,1
0,29.0,8.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,24.0,12.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,1,0
0,22.0,10.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,24.0,7.0,0.0,0.0,1455.69,1.0,1.0,0,1,1,0,1,0,0,1
0,29.0,12.0,0.0,0.0,1890.937,1.0,1.0,0,1,1,0,1,0,1,0
0,25.0,11.0,0.0,0.0,4485.616,1.0,1.0,1,0,0,1,0,1,0,1
0,30.0,12.0,0.0,0.0,13613.35,1.0,1.0,0,1,1,0,1,0,1,0
0,22.0,8.0,0.0,0.0,1390.509,1.0,1.0,0,1,1,0,1,0,0,1
0,55.0,3.0,0.0,0.0,5843.796,1.0,1.0,0,1,1,0,1,0,0,1
0,20.0,10.0,0.0,0.0,8598.522,1.0,1.0,0,1,1,0,1,0,0,1
0,34.0,11.0,0.0,0.0,2920.199,1.0,1.0,0,1,1,0,1,0,0,1
0,22.0,12.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,1,0
0,32.0,12.0,0.0,0.0,6735.32,1.0,1.0,1,0,0,1,0,1,1,0
0,31.0,10.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,18.0,9.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,50.0,10.0,0.0,0.0,0.0,1.0,1.0,1,0,0,1,1,0,0,1
0,25.0,11.0,0.0,0.0,44.75546,1.0,1.0,0,1,1,0,0,1,0,1
0,23.0,10.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,0,1,0,1
0,38.0,10.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,1,0,0,1
0,25.0,10.0,0.0,0.0,3701.812,1.0,1.0,0,1,1,0,0,1,0,1
0,42.0,10.0,0.0,0.0,6930.336,1.0,1.0,0,1,1,0,1,0,0,1
0,39.0,12.0,0.0,0.0,3795.799,1.0,1.0,0,1,1,0,0,1,1,0
0,34.0,13.0,0.0,0.0,5193.247,1.0,1.0,0,1,1,0,0,1,1,0
0,24.0,7.0,0.0,0.0,2193.528,1.0,1.0,0,1,1,0,1,0,0,1
0,32.0,11.0,0.0,0.0,11120.53,1.0,1.0,0,1,1,0,1,0,0,1
0,27.0,13.0,0.0,0.0,7609.518,1.0,1.0,0,1,1,0,1,0,1,0
