Feature,number of features selected,Coefficient,StdErr,R2,MSE
const,23,0.21499584492378485,0.009725958976194063,0.23933710726235324,0.04009891464363457
population,23,0.6076824085967949,0.04368113608266428,0.23933710726235324,0.04009891464363457
pctUrban,23,-0.003919500200568583,0.011196247933657583,0.23933710726235324,0.04009891464363457
NumInShelters,23,0.029277465706088256,0.08501010700325429,0.23933710726235324,0.04009891464363457
NumStreet,23,-0.010486004014483413,0.08612221413347279,0.23933710726235324,0.04009891464363457
LemasPctOfficDrugUn,23,0.16409254516352947,0.030416988079266186,0.23933710726235324,0.04009891464363457
state_abbr_AZ,23,-0.09544194111581612,0.0466619446880799,0.23933710726235324,0.04009891464363457
state_abbr_CA,23,0.054806331311247174,0.01494029792153236,0.23933710726235324,0.04009891464363457
state_abbr_CT,23,-0.14023655508893748,0.026106648762810034,0.23933710726235324,0.04009891464363457
state_abbr_GA,23,0.1208645976260356,0.034687522859424315,0.23933710726235324,0.04009891464363457
state_abbr_LA,23,0.21482650516911178,0.04438128819581459,0.23933710726235324,0.04009891464363457
state_abbr_MA,23,-0.05874763181347719,0.02053700221986339,0.23933710726235324,0.04009891464363457
state_abbr_NJ,23,-0.07607664878709736,0.016654950317192423,0.23933710726235324,0.04009891464363457
state_abbr_NY,23,-0.012866953570315573,0.031235851798842112,0.23933710726235324,0.04009891464363457
state_abbr_OH,23,-0.08514693269502198,0.02121076096509035,0.23933710726235324,0.04009891464363457
state_abbr_OK,23,-0.05330715401854763,0.03510109737476348,0.23933710726235324,0.04009891464363457
state_abbr_PA,23,-0.10899064476160696,0.022126042039955433,0.23933710726235324,0.04009891464363457
state_abbr_RI,23,-0.104747131630017,0.04100609997100069,0.23933710726235324,0.04009891464363457
state_abbr_SC,23,0.2355722189425241,0.03960430303530971,0.23933710726235324,0.04009891464363457
state_abbr_TN,23,0.03988987714312875,0.03553744885542026,0.23933710726235324,0.04009891464363457
state_abbr_TX,23,-0.005324296636206875,0.018264772454444994,0.23933710726235324,0.04009891464363457
state_abbr_UT,23,-0.14343718527959284,0.04257419304180553,0.23933710726235324,0.04009891464363457
state_abbr_VA,23,-0.06464700920049901,0.036511962287679535,0.23933710726235324,0.04009891464363457
