Feature,number of features selected,Coefficient,StdErr,R2
const,91,560.216486722912,13.570682847445786,0.9948872508524773
pop,91,0.0004138559585356457,0.0002649473674747011,0.9948872508524773
NAperCap,91,-7.067766667187341e-07,6.958631218175124e-05,0.9948872508524773
arsons,91,0.012297177415048072,0.027406535674895715,0.9948872508524773
arsonsPerPop,91,0.007228245050779014,0.03636661903279453,0.9948872508524773
asianPerCap,91,9.153196978291761e-05,0.00012474938223777573,0.9948872508524773
assaultPerPop,91,0.9748193970375031,0.0045175102975111465,0.9948872508524773
assaults,91,0.015523579977128166,0.003772093321742867,0.9948872508524773
autoTheft,91,0.005130830478121408,0.003225686070850886,0.9948872508524773
autoTheftPerPop,91,-0.024657567351383636,0.005821040943296702,0.9948872508524773
blackPerCap,91,-2.0049651769132328e-05,0.000132820647399409,0.9948872508524773
burglPerPop,91,-0.005564964005564603,0.004905966269601298,0.9948872508524773
burglaries,91,-0.006736641611306125,0.003933882028240249,0.9948872508524773
hispPerCap,91,0.00010902216530585821,0.0002559149060242001,0.9948872508524773
houseVacant,91,0.0007122783544628751,0.0008075597863448701,0.9948872508524773
kidsBornNevrMarr,91,-0.0006120810848664268,0.0009657498548839811,0.9948872508524773
landArea,91,-0.0030220457448030535,0.009919150663555884,0.9948872508524773
larcPerPop,91,-0.008393914693837039,0.0041677648721730074,0.9948872508524773
larcenies,91,0.0010960166805596555,0.001264902647933497,0.9948872508524773
medFamIncome,91,0.00015244441541006383,0.0007863016136742794,0.9948872508524773
medGrossRent,91,0.04410899621660805,0.051231113270778166,0.9948872508524773
medIncome,91,-7.03570220607231e-05,0.0007816574568184986,0.9948872508524773
medRentpctHousInc,91,-0.44424848021444063,0.6803590725358069,0.9948872508524773
medYrHousBuilt,91,0.05939578997201811,0.20042765511403,0.9948872508524773
murdPerPop,91,0.8503712844474558,0.22296339430011863,0.9948872508524773
murders,91,0.13226822113859615,0.14508383268329866,0.9948872508524773
nonViolPerPop,91,0.008015309794812714,0.004102559719712375,0.9948872508524773
numForeignBorn,91,-0.00028250468480620246,0.0001238262996211169,0.9948872508524773
otherPerCap,91,6.472928685151354e-05,0.00014473777306104455,0.9948872508524773
ownHousLowQ,91,-0.6047707327378191,3.582025225326525,0.9948872508524773
ownHousMed,91,-2.1592710543577066e-05,0.00019269625396726496,0.9948872508524773
ownHousQrange,91,-0.6047600192923639,3.5820380185699827,0.9948872508524773
ownHousUperQ,91,0.6047742002145782,3.582017618930787,0.9948872508524773
pct16-24,91,-0.28381815075770456,0.6102715308924053,0.9948872508524773
pct2Par,91,0.02253583283415983,0.9939010422297179,0.9948872508524773
pctAllDivorc,91,0.023657982336866806,1.1356673461667413,0.9948872508524773
pctBlack,91,-0.5905808971033787,0.30124055818809437,0.9948872508524773
pctBornStateResid,91,0.02355573873291561,0.16167334000376202,0.9948872508524773
pctCollGrad,91,-0.015044480166384377,0.2931566583769532,0.9948872508524773
pctEmploy,91,-0.07428369681507707,0.4638558114434256,0.9948872508524773
pctEmployMfg,91,-0.032188240440780724,0.26419923436715903,0.9948872508524773
pctFgnImmig-10,91,-0.4033078859537703,0.23190280924695564,0.9948872508524773
pctFgnImmig-3,91,-0.21827270291210632,0.21067341436307319,0.9948872508524773
pctFgnImmig-8,91,0.34895165175445186,0.28891614248076564,0.9948872508524773
pctForeignBorn,91,0.6241449237513406,0.6146771613163238,0.9948872508524773
pctHisp,91,-0.021459685920343752,0.2648673672001286,0.9948872508524773
pctHousOccup,91,0.14635190159342337,0.3309578987281684,0.9948872508524773
pctHousOwnerOccup,91,-0.03283216654340215,0.2547796756103635,0.9948872508524773
pctHousWOphone,91,-0.8430693102498257,0.7195743054091647,0.9948872508524773
pctImmig-5,91,-1.7990839966652636,1.4654572702604602,0.9948872508524773
pctKids-4w2Par,91,-0.2509803140918223,0.3027109109879631,0.9948872508524773
pctKids2Par,91,-0.20990554327303368,0.8626527825467073,0.9948872508524773
pctLargHousFam,91,-0.1650272583266904,0.5784510886288223,0.9948872508524773
pctLowEdu,91,1.365018210080943,0.7322582300108831,0.9948872508524773
pctMaleNevMar,91,0.2596231062516331,0.4487029857090963,0.9948872508524773
pctNotHSgrad,91,-0.7624800084167882,0.5831299155491138,0.9948872508524773
pctOccupManu,91,0.45482606840112183,0.5375004905529178,0.9948872508524773
