Feature,number of features selected,Coefficient,StdErr,R2,MSE
const,89,0.20649591555889163,0.014443121492421778,0.4903148111469724,0.0363792655484411
population,89,0.6272503640699689,0.05102045251184316,0.4903148111469724,0.0363792655484411
AsianPerCap,89,-0.009385720624821648,0.03062029114318319,0.4903148111469724,0.0363792655484411
HousVacant,89,-0.12161234397055982,0.057750739693586,0.4903148111469724,0.0363792655484411
LandArea,89,0.1157555729417645,0.0637801647403947,0.4903148111469724,0.0363792655484411
LemasPctOfficDrugUn,89,0.12037723568210316,0.025873227383353584,0.4903148111469724,0.0363792655484411
MalePctDivorce,89,0.18135065158883518,0.08639128683136331,0.4903148111469724,0.0363792655484411
MedNumBR,89,-0.05902636181482143,0.0395793160610811,0.4903148111469724,0.0363792655484411
MedOwnCostPctInc,89,-0.1269741270093299,0.09266147003487904,0.4903148111469724,0.0363792655484411
NumImmig,89,-0.0459586570120983,0.08564132420856843,0.4903148111469724,0.0363792655484411
NumInShelters,89,0.05294862770814061,0.06855849800073041,0.4903148111469724,0.0363792655484411
NumUnderPov,89,-0.15876505042085665,0.06295506395739038,0.4903148111469724,0.0363792655484411
OwnOccHiQuart,89,-0.0667922136871219,0.05181259942337495,0.4903148111469724,0.0363792655484411
OwnOccMedVal,89,0.029104572298026106,0.06029367192451471,0.4903148111469724,0.0363792655484411
PctBSorMore,89,-0.040584089858029845,0.04182265712214405,0.4903148111469724,0.0363792655484411
PctBornSameState,89,0.19577061428654882,0.1036803558069333,0.4903148111469724,0.0363792655484411
PctEmplProfServ,89,-0.013612258191844482,0.036964986244646975,0.4903148111469724,0.0363792655484411
PctForeignBorn,89,0.0882764880737577,0.04334317074369424,0.4903148111469724,0.0363792655484411
PctIlleg,89,0.27595065142428654,0.034011323286688884,0.4903148111469724,0.0363792655484411
PctImmigRec5,89,-0.04257160724956057,0.05650277609456051,0.4903148111469724,0.0363792655484411
PctImmigRec8,89,-0.03794396946279308,0.06274405927360555,0.4903148111469724,0.0363792655484411
PctImmigRecent,89,0.07299763632908944,0.037221509261531005,0.4903148111469724,0.0363792655484411
PctLargHouseFam,89,0.12737887870729553,0.05630283224225954,0.4903148111469724,0.0363792655484411
PctLess9thGrade,89,-0.08681565076873478,0.03725893412787924,0.4903148111469724,0.0363792655484411
PctOccupManu,89,0.059364281481316554,0.0466864027140109,0.4903148111469724,0.0363792655484411
PctPersDenseHous,89,0.07425903082078783,0.044466363188656405,0.4903148111469724,0.0363792655484411
PctPopUnderPov,89,-0.12895612010645052,0.04106532236672208,0.4903148111469724,0.0363792655484411
PctRecImmig10,89,0.03683406740053054,0.07703906114197034,0.4903148111469724,0.0363792655484411
PctRecImmig8,89,0.006048159029506498,0.0703205420080703,0.4903148111469724,0.0363792655484411
PctUnemployed,89,0.09154306158801993,0.03897171022879419,0.4903148111469724,0.0363792655484411
PctUsePubTrans,89,-0.009289715330778759,0.031124554109869494,0.4903148111469724,0.0363792655484411
PctVacantBoarded,89,0.10113286449565229,0.03023740398532731,0.4903148111469724,0.0363792655484411
PctYoungKids2Par,89,-0.09062776008853131,0.061616436136573006,0.4903148111469724,0.0363792655484411
PersPerOccupHous,89,-0.10841675979551796,0.0886508976878296,0.4903148111469724,0.0363792655484411
PersPerOwnOccHous,89,0.01104228638779476,0.08002407626659329,0.4903148111469724,0.0363792655484411
