Feature,number of features selected,Coefficient,StdErr,R2,MSE
const,78,0.15188410237959865,0.010403781437761267,0.4943487180570214,0.03568842231468794
population,78,0.6394976085220186,0.050432071938663704,0.4943487180570214,0.03568842231468794
AsianPerCap,78,-0.009345115994040589,0.029985350051294764,0.4943487180570214,0.03568842231468794
HousVacant,78,-0.11796946081034158,0.05702780179167803,0.4943487180570214,0.03568842231468794
LandArea,78,0.10522820606144109,0.061822318993784035,0.4943487180570214,0.03568842231468794
LemasPctOfficDrugUn,78,0.1193039617304279,0.025565305017513387,0.4943487180570214,0.03568842231468794
MalePctDivorce,78,0.1995512754274228,0.08585419261170461,0.4943487180570214,0.03568842231468794
MedNumBR,78,-0.05990711221832102,0.03922944267555192,0.4943487180570214,0.03568842231468794
NumImmig,78,-0.055428991762750346,0.08430128152798096,0.4943487180570214,0.03568842231468794
NumInShelters,78,0.05868551558171145,0.06808397520005349,0.4943487180570214,0.03568842231468794
NumUnderPov,78,-0.16454416696802107,0.06251511390417078,0.4943487180570214,0.03568842231468794
OwnOccHiQuart,78,-0.07234859052407701,0.05099155704988685,0.4943487180570214,0.03568842231468794
OwnOccMedVal,78,0.03211877806013004,0.059376370366007875,0.4943487180570214,0.03568842231468794
PctBSorMore,78,-0.04316844457332677,0.04156212701500975,0.4943487180570214,0.03568842231468794
PctBornSameState,78,0.1950076576071965,0.10296181807633878,0.4943487180570214,0.03568842231468794
PctEmplManu,78,-0.020535230645949837,0.045534487554500395,0.4943487180570214,0.03568842231468794
PctEmplProfServ,78,-0.01483786971205928,0.036582007236039264,0.4943487180570214,0.03568842231468794
PctForeignBorn,78,0.0834394824712825,0.04264212445556349,0.4943487180570214,0.03568842231468794
PctIlleg,78,0.2748352261477556,0.03363162785751619,0.4943487180570214,0.03568842231468794
PctImmigRec5,78,-0.060265810326271714,0.047557058825443886,0.4943487180570214,0.03568842231468794
PctImmigRecent,78,0.051949168276823506,0.03704612779834614,0.4943487180570214,0.03568842231468794
PctLargHouseFam,78,0.12519184195155583,0.055884965628392284,0.4943487180570214,0.03568842231468794
PctLess9thGrade,78,-0.07527433232005067,0.035955885693843385,0.4943487180570214,0.03568842231468794
PctPersDenseHous,78,0.07675582108987483,0.044114881137225885,0.4943487180570214,0.03568842231468794
PctPopUnderPov,78,-0.13934447368699646,0.04036942717112588,0.4943487180570214,0.03568842231468794
PctRecImmig10,78,0.03919808972752366,0.07636165539960596,0.4943487180570214,0.03568842231468794
PctRecImmig8,78,0.009198324878765854,0.06982246948404743,0.4943487180570214,0.03568842231468794
PctUnemployed,78,0.08688512407151075,0.03847004021165279,0.4943487180570214,0.03568842231468794
PctUsePubTrans,78,0.0007552622234283452,0.03084708640086701,0.4943487180570214,0.03568842231468794
PctVacantBoarded,78,0.10135332234851503,0.029955238009431426,0.4943487180570214,0.03568842231468794
PctYoungKids2Par,78,-0.08600204246133329,0.061101293082495685,0.4943487180570214,0.03568842231468794
PersPerOccupHous,78,-0.09752527052686431,0.08770700979577777,0.4943487180570214,0.03568842231468794
PersPerOwnOccHous,78,-0.002101400232379468,0.07906166868253807,0.4943487180570214,0.03568842231468794
PopDens,78,0.17832473822562545,0.03576551227354802,0.4943487180570214,0.03568842231468794
RentHighQ,78,-0.07218807887980902,0.025637743183939375,0.4943487180570214,0.03568842231468794
agePct12t29,78,-0.04549838744595629,0.06995467567083363,0.4943487180570214,0.03568842231468794
agePct16t24,78,0.007865229234593086,0.06667950693742783,0.4943487180570214,0.03568842231468794
agePct65up,78,-0.05321471983652023,0.04166005132471323,0.4943487180570214,0.03568842231468794
householdsize,78,-0.025740701551687773,0.04710552577145635,0.4943487180570214,0.03568842231468794
indianPerCap,78,-0.05728625492710066,0.03826593433965012,0.4943487180570214,0.03568842231468794
medFamInc,78,0.07236705483570338,0.0485715073857742,0.4943487180570214,0.03568842231468794
numbUrban,78,-0.16608852337798333,0.0777846750985986,0.4943487180570214,0.03568842231468794
pctUrban,78,0.000335801487060579,0.008801574996240217,0.4943487180570214,0.03568842231468794
pctWFarmSelf,78,-0.039665768612659025,0.02820503502753271,0.4943487180570214,0.03568842231468794
pctWPubAsst,78,0.16726240881026821,0.036574789645704084,0.4943487180570214,0.03568842231468794
pctWRetire,78,-0.07826684476730945,0.04685435048514524,0.4943487180570214,0.03568842231468794
racePctAsian,78,-0.0919628738010883,0.027844539452438546,0.4943487180570214,0.03568842231468794
racePctWhite,78,-0.05923809944877211,0.04980279194954998,0.4943487180570214,0.03568842231468794
racepctblack,78,0.16978457263375607,0.02920298476597861,0.4943487180570214,0.03568842231468794
state_abbr_AL,78,0.16364840362875763,0.02796586214807511,0.4943487180570214,0.03568842231468794
state_abbr_AR,78,0.08897181830256223,0.03528377410680874,0.4943487180570214,0.03568842231468794
state_abbr_CA,78,0.11121242557801103,0.01563819115651747,0.4943487180570214,0.03568842231468794
state_abbr_CT,78,-0.07262353474718246,0.022599837837834664,0.4943487180570214,0.03568842231468794
state_abbr_FL,78,0.26439713625596967,0.02184598076486872,0.4943487180570214,0.03568842231468794
state_abbr_GA,78,0.11687041790737278,0.0301243336430008,0.4943487180570214,0.03568842231468794
state_abbr_KY,78,0.11083141086696954,0.034646876925806334,0.4943487180570214,0.03568842231468794
state_abbr_LA,78,0.21654892738199283,0.03924188227784358,0.4943487180570214,0.03568842231468794
state_abbr_MD,78,0.22328726951955333,0.050524862273630886,0.4943487180570214,0.03568842231468794
state_abbr_ME,78,-0.09685477818974304,0.04220319914541661,0.4943487180570214,0.03568842231468794
state_abbr_MO,78,0.0008023208917171893,0.027862854687238408,0.4943487180570214,0.03568842231468794
state_abbr_NC,78,0.212769656699793,0.02725767348560134,0.4943487180570214,0.03568842231468794
state_abbr_ND,78,-0.11544268604914092,0.0627097745578899,0.4943487180570214,0.03568842231468794
