Feature,number of features selected,Coefficient,StdErr,R2
const,85,0.21061923899936685,0.0144543637904068,0.4854632735464419
population,85,0.5603036217737725,0.04859639593075794,0.4854632735464419
AsianPerCap,85,-0.008837143230793135,0.030711285223345076,0.4854632735464419
HousVacant,85,-0.18492326000934764,0.05430899241773839,0.4854632735464419
LandArea,85,0.07194350895748053,0.06074067672478792,0.4854632735464419
LemasPctOfficDrugUn,85,0.12603621417265956,0.025930806951859793,0.4854632735464419
MalePctDivorce,85,0.18572392515665942,0.08670156058491087,0.4854632735464419
MedNumBR,85,-0.05985140318339015,0.03971766237197453,0.4854632735464419
MedOwnCostPctInc,85,-0.12562136049187178,0.09226219925470565,0.4854632735464419
NumInShelters,85,-0.012611653229022359,0.06435519875458028,0.4854632735464419
OwnOccHiQuart,85,-0.04752504272714056,0.03227250721164228,0.4854632735464419
PctBSorMore,85,-0.04274295290815071,0.04190346870439768,0.4854632735464419
PctBornSameState,85,0.19643869088080188,0.10405911270473264,0.4854632735464419
PctEmplProfServ,85,-0.014458393296319674,0.037090874834589685,0.4854632735464419
PctForeignBorn,85,0.08146920410538855,0.04326600262657596,0.4854632735464419
PctIlleg,85,0.2770422502058691,0.0340276311400941,0.4854632735464419
PctImmigRec5,85,-0.04331873117691456,0.05671041119457749,0.4854632735464419
PctImmigRec8,85,-0.03668449394503968,0.06297426671655725,0.4854632735464419
PctImmigRecent,85,0.07222271449549275,0.037356248009640505,0.4854632735464419
PctLargHouseFam,85,0.13738545367229887,0.056219636068329436,0.4854632735464419
PctLess9thGrade,85,-0.09088896080173536,0.03718463331303013,0.4854632735464419
PctOccupManu,85,0.06446185646089395,0.046555327057061106,0.4854632735464419
PctPersDenseHous,85,0.06330196354627989,0.04433748552816088,0.4854632735464419
PctPopUnderPov,85,-0.12830776683627518,0.04117502261251432,0.4854632735464419
PctRecImmig10,85,0.04009012468141204,0.07718508687276651,0.4854632735464419
PctRecImmig8,85,0.0033667739836020084,0.07043588956452008,0.4854632735464419
PctUnemployed,85,0.09634280366160676,0.03897373822395862,0.4854632735464419
PctUsePubTrans,85,-0.00030623797268808866,0.031081995372110285,0.4854632735464419
PctVacantBoarded,85,0.1002867141299453,0.030238237858141677,0.4854632735464419
PctYoungKids2Par,85,-0.09398786615888592,0.061720447377508675,0.4854632735464419
PersPerOccupHous,85,-0.10351786052892124,0.08893892603715838,0.4854632735464419
PersPerOwnOccHous,85,0.007286992620969282,0.08024146303666518,0.4854632735464419
PopDens,85,0.17136794332357258,0.03734241974575491,0.4854632735464419
RentHighQ,85,-0.07190934893016138,0.025529687124213215,0.4854632735464419
agePct12t29,85,-0.04449500190872504,0.0708604353690482,0.4854632735464419
agePct16t24,85,0.007072311178378172,0.06752857119489729,0.4854632735464419
agePct65up,85,-0.05313756358931171,0.0420524561907409,0.4854632735464419
blackPerCap,85,-0.01688066052549326,0.042227814748857256,0.4854632735464419
householdsize,85,-0.033928603857590896,0.04815351775648154,0.4854632735464419
indianPerCap,85,-0.046029092626741624,0.03886693226728718,0.4854632735464419
medFamInc,85,0.08601883974674693,0.04917600143459739,0.4854632735464419
pctUrban,85,0.003197048654069703,0.008900702358472732,0.4854632735464419
pctWFarmSelf,85,-0.038428258909576025,0.029589986965409452,0.4854632735464419
pctWInvInc,85,-0.16465911121076948,0.10466588357963148,0.4854632735464419
pctWPubAsst,85,0.16784676637470108,0.036912991979548754,0.4854632735464419
pctWRetire,85,-0.08497364001829888,0.04734986505940416,0.4854632735464419
racePctAsian,85,-0.09273182913397973,0.028072892971963727,0.4854632735464419
racePctWhite,85,-0.0580670416596431,0.05049982022707899,0.4854632735464419
racepctblack,85,0.18555898851638672,0.029686652538472025,0.4854632735464419
state_abbr_AR,85,0.02944603853496016,0.03703505752073467,0.4854632735464419
state_abbr_AZ,85,-0.05238260003886768,0.041200628709583936,0.4854632735464419
state_abbr_CA,85,0.05780917280077863,0.018303115153329334,0.4854632735464419
state_abbr_CT,85,-0.12966991269853773,0.02478335985593456,0.4854632735464419
state_abbr_FL,85,0.20542699527130828,0.024073619216261808,0.4854632735464419
state_abbr_GA,85,0.058239681699360044,0.03183528896973084,0.4854632735464419
state_abbr_IA,85,-0.06402517738634574,0.040588919756495576,0.4854632735464419
state_abbr_ID,85,-0.08738808833653038,0.06760683767526134,0.4854632735464419
state_abbr_IN,85,-0.057943777698176255,0.02818064374270058,0.4854632735464419
state_abbr_KY,85,0.05465070024727611,0.03632106006227533,0.4854632735464419
state_abbr_LA,85,0.1544008901677595,0.04068125093468299,0.4854632735464419
state_abbr_MA,85,-0.045253212657904225,0.020606837319104822,0.4854632735464419
state_abbr_MD,85,0.14739509524814712,0.05156298728416647,0.4854632735464419
state_abbr_ME,85,-0.1544472243270983,0.04373525393754959,0.4854632735464419
state_abbr_MO,85,-0.05706777628700955,0.029692457852383475,0.4854632735464419
state_abbr_MS,85,-0.0717452089674113,0.04229049589612819,0.4854632735464419
state_abbr_NC,85,0.14798654135884642,0.028969433868739895,0.4854632735464419
state_abbr_ND,85,-0.17351110779721535,0.06437224268951705,0.4854632735464419
state_abbr_NH,85,-0.14410435564615517,0.039799512413842025,0.4854632735464419
state_abbr_NJ,85,-0.105495238588807,0.018115199018297334,0.4854632735464419
state_abbr_NM,85,0.08128339689248532,0.05593004115038204,0.4854632735464419
state_abbr_OH,85,-0.08109526614750673,0.021291260963658087,0.4854632735464419
state_abbr_OK,85,-0.03456749498947538,0.03170117670504964,0.4854632735464419
state_abbr_OR,85,-0.10477223334766217,0.03348355003593362,0.4854632735464419
state_abbr_PA,85,-0.1167003204287312,0.02183205555534907,0.4854632735464419
state_abbr_RI,85,-0.10482193627882853,0.03620716193103492,0.4854632735464419
state_abbr_SC,85,0.2384233930566405,0.035158768489495305,0.4854632735464419
state_abbr_SD,85,-0.10612278933081074,0.060819870880511204,0.4854632735464419
state_abbr_TN,85,0.050661344387904844,0.03208114451286204,0.4854632735464419
state_abbr_TX,85,0.008801996140944918,0.01953772061623931,0.4854632735464419
state_abbr_UT,85,-0.1572736653596195,0.041803308743109474,0.4854632735464419
state_abbr_VA,85,-0.07286679071444167,0.032744911481467485,0.4854632735464419
state_abbr_VT,85,-0.17629115450203625,0.08808349673668735,0.4854632735464419
state_abbr_WI,85,-0.16332417619590653,0.025955592314411816,0.4854632735464419
state_abbr_WV,85,-0.061952347469401425,0.04827121260677888,0.4854632735464419
state_abbr_WY,85,-0.1013162494692483,0.06649697187576487,0.4854632735464419
