Feature,number of features selected,Coefficient,StdErr,R2,MSE
const,78,0.1517135776870231,0.010663966617225183,0.49429509947632944,0.03115997516439563
population,78,0.6401110338410786,0.05048398321822208,0.49429509947632944,0.03115997516439563
AsianPerCap,78,-0.009863262880471662,0.029969451418062152,0.49429509947632944,0.03115997516439563
HousVacant,78,-0.11835695614639902,0.0570263872778776,0.49429509947632944,0.03115997516439563
LandArea,78,0.1053896590268168,0.06185289200415619,0.49429509947632944,0.03115997516439563
LemasPctOfficDrugUn,78,0.11934484222818109,0.025574869256231977,0.49429509947632944,0.03115997516439563
MalePctDivorce,78,0.1993127061766423,0.08586157298283702,0.49429509947632944,0.03115997516439563
MedNumBR,78,-0.05974917809106976,0.03922996887572261,0.49429509947632944,0.03115997516439563
NumImmig,78,-0.05500677840086285,0.08430114253559652,0.49429509947632944,0.03115997516439563
NumInShelters,78,0.05839499593878423,0.06810178123307138,0.49429509947632944,0.03115997516439563
NumUnderPov,78,-0.1647353771629465,0.062526866479343,0.49429509947632944,0.03115997516439563
OwnOccHiQuart,78,-0.0722802054006557,0.05099407700427041,0.49429509947632944,0.03115997516439563
OwnOccMedVal,78,0.03211006001297898,0.05937976258138719,0.49429509947632944,0.03115997516439563
PctBSorMore,78,-0.0431237426252965,0.04156491433487149,0.49429509947632944,0.03115997516439563
PctBornSameState,78,0.19512973842942308,0.10296715669317845,0.49429509947632944,0.03115997516439563
PctEmplProfServ,78,-0.014753267993459026,0.03658944217631433,0.49429509947632944,0.03115997516439563
PctForeignBorn,78,0.08362120324112433,0.042642480196585404,0.49429509947632944,0.03115997516439563
PctIlleg,78,0.27478804091050796,0.03363324977499539,0.49429509947632944,0.03115997516439563
PctImmigRec5,78,-0.062469664438993634,0.04732804111735011,0.49429509947632944,0.03115997516439563
PctImmigRecent,78,0.05266442313804104,0.037034137848858145,0.49429509947632944,0.03115997516439563
PctLargHouseFam,78,0.12524061665218655,0.05588787585043917,0.49429509947632944,0.03115997516439563
PctLess9thGrade,78,-0.0753942739148331,0.03595704716295811,0.49429509947632944,0.03115997516439563
PctPersDenseHous,78,0.07666443330111022,0.04411705256988615,0.49429509947632944,0.03115997516439563
