Feature,number of features selected,Coefficient,StdErr,R2
const,120,-3.8213440403476397,428.5897659172375,0.9949379055470702
pop,120,0.0004300367730549902,0.0002669439197000893,0.9949379055470702
NAperCap,120,9.68836639716507e-06,7.026639821027414e-05,0.9949379055470702
arsons,120,0.014006445009973917,0.027574414219837882,0.9949379055470702
arsonsPerPop,120,0.0036381049744740324,0.0364387413248854,0.9949379055470702
asianPerCap,120,0.00010734069532456809,0.00012671439556674203,0.9949379055470702
assaultPerPop,120,0.9742738099472303,0.004586990903052729,0.9949379055470702
assaults,120,0.015591120589322535,0.0038237841683204585,0.9949379055470702
autoTheft,120,0.005108147689088909,0.0032779555889424147,0.9949379055470702
autoTheftPerPop,120,-0.025648147118880638,0.0059145059583786295,0.9949379055470702
blackPerCap,120,-7.890204549819337e-06,0.00013615194323801408,0.9949379055470702
burglPerPop,120,-0.0056141978949079685,0.004947619705590918,0.9949379055470702
burglaries,120,-0.006075007059995974,0.003998193140170082,0.9949379055470702
hispPerCap,120,7.966527087214736e-05,0.00025940214628099973,0.9949379055470702
houseVacant,120,0.0006540717969851571,0.0008149261653742326,0.9949379055470702
kidsBornNevrMarr,120,-0.000271259130295097,0.0010152638329028268,0.9949379055470702
landArea,120,0.00032079217726856124,0.010282587034096229,0.9949379055470702
larcPerPop,120,-0.008120913389825013,0.004209669457582584,0.9949379055470702
larcenies,120,0.0012716192841378468,0.001279772840197551,0.9949379055470702
medFamIncome,120,8.164036491622312e-05,0.0008517668913467737,0.9949379055470702
medGrossRent,120,0.048181151029972336,0.053239849948416865,0.9949379055470702
medIncome,120,-9.445149652853574e-05,0.0008624846073858291,0.9949379055470702
medNumBedrm,120,-2.3109766637983427,3.3677547113800412,0.9949379055470702
medOwnCostPctWO,120,-0.7401966343364244,1.0683066759014395,0.9949379055470702
medOwnCostpct,120,0.2392598322869839,0.734448792889751,0.9949379055470702
medRentpctHousInc,120,-0.3436533448893444,0.6408561856350568,0.9949379055470702
medYrHousBuilt,120,0.11760253758614336,0.2060906641598214,0.9949379055470702
murdPerPop,120,0.7524514136462628,0.21973570668027803,0.9949379055470702
murders,120,0.10754592008990604,0.14805786840767002,0.9949379055470702
nonViolPerPop,120,0.0078032496997023915,0.004147442134099156,0.9949379055470702
numForeignBorn,120,-0.0002693227371305027,0.0001275464436186093,0.9949379055470702
otherPerCap,120,6.743465859127893e-05,0.00014665319571360627,0.9949379055470702
ownHousLowQ,120,-1.1914118915437198e-05,0.0001283950414555981,0.9949379055470702
ownHousMed,120,-1.5219813242294163e-05,0.0001960737335303735,0.9949379055470702
ownHousQrange,120,6.458021538607254e-06,4.6239382362157414e-05,0.9949379055470702
ownHousUperQ,120,-5.456242818005106e-06,9.840251425367873e-05,0.9949379055470702
pct12-17w2Par,120,0.024136381905148774,0.2745404165772436,0.9949379055470702
pct12-21,120,0.051396138389518065,1.278572885751691,0.9949379055470702
pct12-29,120,0.018100189816853796,1.3506446732643729,0.9949379055470702
pct16-24,120,-0.26700799203522596,1.7325405465951655,0.9949379055470702
pct2Par,120,-1.3447710856872315,1.0509738395172978,0.9949379055470702
pct65up,120,-1.7236025044364034,1.2038353723003046,0.9949379055470702
pctAllDivorc,120,-0.558498092829558,2.9230232540792627,0.9949379055470702
pctAsian,120,-0.5985777780340342,0.5814306619379355,0.9949379055470702
pctBlack,120,-0.46075636538475173,0.39612726122530284,0.9949379055470702
pctBornStateResid,120,-0.02485659533263964,0.1662115012915421,0.9949379055470702
pctCollGrad,120,-0.003964839627759731,0.4354418386974336,0.9949379055470702
pctEmploy,120,0.14882048409925375,0.5419358030544196,0.9949379055470702
pctEmployMfg,120,0.049272859567843774,0.27584891861987676,0.9949379055470702
pctEmployProfServ,120,-0.05688179470097965,0.36972949499425534,0.9949379055470702
pctFemDivorc,120,-1.6990833075492002,1.861496836927219,0.9949379055470702
pctFgnImmig-10,120,-0.5193845789500824,0.2423937061980142,0.9949379055470702
pctFgnImmig-3,120,-0.12105982715959618,0.2829669857892292,0.9949379055470702
pctFgnImmig-5,120,-0.02120423813986483,0.3440945123897978,0.9949379055470702
pctFgnImmig-8,120,0.42172484017276624,0.3440095292208721,0.9949379055470702
pctForeignBorn,120,0.043474075710402016,0.7739218527056141,0.9949379055470702
pctHisp,120,0.01922817907675034,0.3458906285309333,0.9949379055470702
pctHousOccup,120,0.05786809575228413,0.33687608982944733,0.9949379055470702
pctHousOwnerOccup,120,-0.030241116940246116,0.7488928362453234,0.9949379055470702
pctHousWOphone,120,-0.8195784114851623,0.7121453133273535,0.9949379055470702
pctHousWOplumb,120,-7.326657137080965,3.4186908823302855,0.9949379055470702
pctImmig-10,120,3.779128178120698,2.4661927640201924,0.9949379055470702
pctImmig-3,120,3.537118831538878,3.2547477023756177,0.9949379055470702
pctImmig-5,120,-6.093697981909756,3.308431099397538,0.9949379055470702
pctImmig-8,120,-0.40247040771360076,3.160434581996558,0.9949379055470702
pctKids-4w2Par,120,-0.17127837705887128,0.3055564720643537,0.9949379055470702
pctKids2Par,120,0.5513591695848286,0.8983149627197423,0.9949379055470702
pctKidsBornNevrMarr,120,-1.9402850204290507,1.2594283894732308,0.9949379055470702
pctLargHous,120,1.7717645000352,2.261005900814039,0.9949379055470702
pctLargHousFam,120,-1.3096663739535899,1.966349925413408,0.9949379055470702
pctLowEdu,120,1.3109624048531812,0.7816873204708056,0.9949379055470702
pctMaleDivorc,120,1.8226924120867949,1.8341054601902098,0.9949379055470702
pctMaleNevMar,120,0.13329800658072877,0.5075621683946743,0.9949379055470702
pctNotHSgrad,120,-0.4009899230195584,0.6167138179122463,0.9949379055470702
pctNotSpeakEng,120,-1.7478897951252048,1.2293999347824156,0.9949379055470702
pctOccupManu,120,0.3588567567594767,0.5758926057293554,0.9949379055470702
pctOccupMgmt,120,0.32128729667410383,0.5779991471454524,0.9949379055470702
pctOfficDrugUnit,120,0.24670025727730915,0.4267733937280781,0.9949379055470702
pctPersOwnOccup,120,-0.018028740325796377,0.7750049775149752,0.9949379055470702
pctPopDenseHous,120,-0.2555130500432128,0.8453994705155495,0.9949379055470702
pctPoverty,120,0.25361778293783477,0.5937643929974631,0.9949379055470702
pctPubAsst,120,-0.8053787849006177,0.7410776976435594,0.9949379055470702
pctRetire,120,0.1122784618089136,0.46416269034297486,0.9949379055470702
pctSameCounty-5,120,-0.12081103159271989,0.2511544408934207,0.9949379055470702
pctSameHouse-5,120,0.008207946693467832,0.33215068553390575,0.9949379055470702
pctSameState-5,120,0.017878429490103653,0.38360050498464726,0.9949379055470702
pctSmallHousUnits,120,-0.03619310620218208,0.24251163234198997,0.9949379055470702
pctSpeakOnlyEng,120,-0.18910802697801543,0.41180880605178144,0.9949379055470702
pctUnemploy,120,-0.08376465254870169,0.9699844177309945,0.9949379055470702
pctUrban,120,0.11133371347523818,0.06208590494182231,0.9949379055470702
pctUsePubTrans,120,0.41349165546174316,0.39701746858778436,0.9949379055470702
pctVacant6up,120,-0.12964551497649954,0.11573258404112571,0.9949379055470702
pctVacantBoarded,120,0.815440683649185,0.46388396513728586,0.9949379055470702
pctWdiv,120,-0.5222371267551456,0.3254470321620701,0.9949379055470702
pctWfarm,120,-1.0844552223853956,1.859910529815328,0.9949379055470702
pctWhite,120,-0.4536759527518752,0.3687800595287691,0.9949379055470702
pctWorkMom-18,120,-0.03749884661236713,0.49517762882906236,0.9949379055470702
