Feature,number of features selected,Coefficient,StdErr,R2
const,161,0.001095402109522793,4.632178049084646e-05,0.9950069478387704
pop,161,0.00044866437363849307,0.0002753165004711096,0.9950069478387704
NAperCap,161,1.31424160178004e-05,7.088796086219988e-05,0.9950069478387704
State_AK,161,23.628886709151892,36.668484294528334,0.9950069478387704
State_AR,161,14.971176228931483,15.419567928919129,0.9950069478387704
State_CA,161,5.6007187496208815,14.480238881443992,0.9950069478387704
State_CO,161,3.047929099462351,14.807628774157209,0.9950069478387704
State_CT,161,14.798396977536612,14.41642909830005,0.9950069478387704
State_DC,161,-61.46281927982818,81.09500921286367,0.9950069478387704
State_DE,161,-5.144409617340983,46.7446818065741,0.9950069478387704
State_FL,161,20.010601651185084,12.627828641621608,0.9950069478387704
State_GA,161,18.401063323912723,14.963984263509905,0.9950069478387704
State_ID,161,5.418312851608903,21.337265119571914,0.9950069478387704
State_IN,161,11.180084369582971,14.242309972242072,0.9950069478387704
State_KS,161,59.43656419693252,48.91429339540713,0.9950069478387704
State_KY,161,15.907140654495993,15.590973850386721,0.9950069478387704
State_LA,161,27.540231030290748,17.06026045772387,0.9950069478387704
State_MA,161,9.880015208179145,15.0654373711377,0.9950069478387704
State_MD,161,15.431058772200686,18.3987148645889,0.9950069478387704
State_ME,161,2.1825785575076964,17.674796386890428,0.9950069478387704
State_MO,161,11.461599039303024,14.563932182261551,0.9950069478387704
State_MS,161,5.840074648207775,17.03007112312029,0.9950069478387704
State_NC,161,11.734234282972565,15.029050470722055,0.9950069478387704
State_ND,161,4.006659355957709,21.696530335101876,0.9950069478387704
State_NH,161,-2.0698809012301354,16.476558208576666,0.9950069478387704
State_NJ,161,9.243837710036757,14.008182875700088,0.9950069478387704
State_NM,161,5.194646410665143,18.76372043306201,0.9950069478387704
State_NV,161,3.7951375039282027,24.002287756664384,0.9950069478387704
State_OH,161,7.728837984727846,13.93529639380695,0.9950069478387704
State_OK,161,16.225790016110764,14.507833845256586,0.9950069478387704
State_OR,161,-0.14167502845418767,14.46505561096477,0.9950069478387704
State_PA,161,8.969989164014038,14.758420218906943,0.9950069478387704
State_RI,161,16.718126373995716,16.520439968746004,0.9950069478387704
State_SC,161,20.864453050576003,15.755374195960966,0.9950069478387704
State_SD,161,7.347900141270372,20.54209426927503,0.9950069478387704
State_TN,161,16.72579467321735,14.710118016932967,0.9950069478387704
State_TX,161,5.367297028363936,13.012570676288737,0.9950069478387704
