Feature,number of features selected,Coefficient,StdErr,R2
const,10,6631.671869958911,1303.2387830858759,0.05564459580262049
treat,10,1691.3913190809187,638.6723552169851,0.05564459580262049
age,10,58.061692056865105,47.892274406797355,0.05564459580262049
black_1.0,10,-2170.4967704111173,1168.6598306025692,0.05564459580262049
educ,10,511.324095707726,269.72677966983434,0.05564459580262049
hisp_1.0,10,140.33526984258265,1547.209982597177,0.05564459580262049
married_1.0,10,-114.57283003889854,877.9648611506116,0.05564459580262049
nodegr_1.0,10,-93.77560996157058,967.5084058035357,0.05564459580262049
re74,10,0.08200876121745394,0.07736788139190046,0.05564459580262049
re75,10,0.05156172190814492,0.13543432961127133,0.05564459580262049
