Feature,number of features selected,Coefficient,StdErr,R2,MSE
const,20,0.18934065670621694,0.007875459211795388,0.2893830648011103,0.035210106723316384
population,20,0.6748942567551945,0.05748775722611006,0.2893830648011103,0.035210106723316384
state,20,-0.0027181745621398744,0.0002822358869177554,0.2893830648011103,0.035210106723316384
racePctAsian,20,-0.027539787359294885,0.02954289238529852,0.2893830648011103,0.035210106723316384
numbUrban,20,-0.16433291389270244,0.08535152243162447,0.2893830648011103,0.035210106723316384
pctUrban,20,0.022700292033026804,0.009588038826036954,0.2893830648011103,0.035210106723316384
whitePerCap,20,-0.04217853238967562,0.04117860294906012,0.2893830648011103,0.035210106723316384
NumUnderPov,20,-0.10350085992641218,0.07213595729676578,0.2893830648011103,0.035210106723316384
PctIlleg,20,0.40430457231196815,0.03341720286144847,0.2893830648011103,0.035210106723316384
NumImmig,20,0.032935483793148784,0.09438139569977544,0.2893830648011103,0.035210106723316384
HousVacant,20,-0.1191279960274702,0.0656746264917494,0.2893830648011103,0.035210106723316384
PctVacantBoarded,20,0.09551191181575415,0.03410231817547577,0.2893830648011103,0.035210106723316384
OwnOccMedVal,20,-0.022153922218332983,0.04189997674258176,0.2893830648011103,0.035210106723316384
RentHighQ,20,-0.12514456546796268,0.02870740469468953,0.2893830648011103,0.035210106723316384
NumInShelters,20,0.01280153689467744,0.07860286130392696,0.2893830648011103,0.035210106723316384
PctUsePubTrans,20,0.05706366505652695,0.03108466815299987,0.2893830648011103,0.035210106723316384
LemasPctOfficDrugUn,20,0.15059180673609526,0.029419522423010262,0.2893830648011103,0.035210106723316384
fold_4,20,0.010719719084558831,0.015017540111856735,0.2893830648011103,0.035210106723316384
fold_5,20,0.0005095262902933564,0.015007664261136854,0.2893830648011103,0.035210106723316384
fold_10,20,-0.023401270097456288,0.015026042570193887,0.2893830648011103,0.035210106723316384
