Feature,number of features selected,Coefficient,StdErr,R2,MSE
const,21,0.1850300447149297,0.007824784363555035,0.28887475653131556,0.03522274934006034
population,21,0.675282450754262,0.057554119476028086,0.28887475653131556,0.03522274934006034
state,21,-0.002708642893254527,0.0002825360992463983,0.28887475653131556,0.03522274934006034
racePctAsian,21,-0.028040181312967646,0.029559066339216507,0.28887475653131556,0.03522274934006034
numbUrban,21,-0.16936811283674488,0.08539643703784043,0.28887475653131556,0.03522274934006034
pctUrban,21,0.022026327191603204,0.009592072820173696,0.28887475653131556,0.03522274934006034
whitePerCap,21,-0.039082647142943884,0.04128598504230951,0.28887475653131556,0.03522274934006034
AsianPerCap,21,-0.022017670263480334,0.034492917156307826,0.28887475653131556,0.03522274934006034
NumUnderPov,21,-0.1001063672528506,0.07214190018513464,0.28887475653131556,0.03522274934006034
PctIlleg,21,0.40108635770245415,0.033455430544089934,0.28887475653131556,0.03522274934006034
NumImmig,21,0.032051913365092284,0.0944401868242855,0.28887475653131556,0.03522274934006034
HousVacant,21,-0.11986034978329911,0.06571344103942035,0.28887475653131556,0.03522274934006034
PctVacantBoarded,21,0.0966028617761703,0.034149644072037154,0.28887475653131556,0.03522274934006034
OwnOccMedVal,21,-0.020208394235144207,0.041960497271549595,0.28887475653131556,0.03522274934006034
RentHighQ,21,-0.12498115344730677,0.028727064918746877,0.28887475653131556,0.03522274934006034
NumInShelters,21,0.010721152032328374,0.07863342445836284,0.28887475653131556,0.03522274934006034
PctUsePubTrans,21,0.057011966433692246,0.031108438468989502,0.28887475653131556,0.03522274934006034
LemasPctOfficDrugUn,21,0.15158142391196117,0.02944576130596512,0.28887475653131556,0.03522274934006034
fold_3,21,0.011443464923568495,0.014994448103393733,0.28887475653131556,0.03522274934006034
fold_4,21,0.015192508309977492,0.015023767728132747,0.28887475653131556,0.03522274934006034
fold_5,21,0.005268825438382024,0.015033636678861203,0.28887475653131556,0.03522274934006034
